Price,Date,Close,High,Low,Open,Volume
Ticker,,META,META,META,META,META
226,2020-11-23,267.1708068847656,269.6790051856263,263.2891075791746,269.6192890712651,20990800
227,2020-11-24,275.6209716796875,276.5167436724169,266.6134073307033,267.23049402848534,16930400
228,2020-11-25,274.2972106933594,278.8656754754862,271.37099972842776,276.83526693304384,12467000
229,2020-11-27,276.5068054199219,277.8206206589636,273.53084107303255,276.0887926275861,7808400
230,2020-11-30,275.6707763671875,276.3973629811554,269.73874234067944,274.73518333665197,16693300
231,2020-12-01,285.2057800292969,287.94287976230135,277.651388411135,277.8504623596669,20738900
232,2020-12-02,286.1712646484375,290.4112911809428,279.512644266161,284.02139332383297,17361600
233,2020-12-03,280.52789306640625,285.3053648888175,279.7515531359038,284.9072472993541,12921700
234,2020-12-04,278.3879699707031,282.13031156638726,277.9898220275162,278.9851311366365,10880300
235,2020-12-07,284.2403869628906,287.13674036954677,276.8950306074668,277.8803769921548,13007700
236,2020-12-08,282.070556640625,285.0863416113504,280.22922896721013,284.66832885271003,10747700
237,2020-12-09,276.6163330078125,286.28077637305904,270.4752621725787,282.329397822939,25189700
238,2020-12-10,275.8200378417969,277.4225011998251,270.58470254241007,274.24746291457967,20065100
239,2020-12-11,272.26678466796875,275.18306333533354,268.9822768780611,273.2421984939375,14391400
240,2020-12-14,272.90380859375,275.9195939963605,270.28614076214086,272.0876478298217,16376900
241,2020-12-15,274.2574157714844,274.7849283899252,266.2153314494091,273.540791990355,23979500
242,2020-12-16,274.37689208984375,276.5565912263314,271.2317114696477,273.4711571007699,15885000
243,2020-12-17,273.19244384765625,279.1244773865395,272.3264994442091,275.7702906881683,16377800
244,2020-12-18,275.1033935546875,276.6958939834329,269.868089020973,274.47634404294746,26693200
245,2020-12-21,271.5103759765625,273.3815619312568,266.5338305117045,271.69948713418097,16553700
246,2020-12-22,265.8371276855469,270.22644485463616,263.38867558507343,270.22644485463616,17312900
247,2020-12-23,266.852294921875,270.8932776109496,264.98113942164525,265.63804703983703,14329000
248,2020-12-24,266.1456298828125,269.13155698779786,264.9512772654711,267.6186981893969,6702000
249,2020-12-28,275.7006530761719,275.9992336914656,264.413850201667,267.4793892249142,23299700
250,2020-12-29,275.48162841796875,279.19414198492615,274.98397390963555,275.65084431554715,16383000
251,2020-12-30,270.59466552734375,276.7755261993359,270.435412435023,276.64616153784556,11803800
252,2020-12-31,271.8786315917969,275.7901889813584,268.54434010315487,270.7240694155352,12900400
253,2021-01-04,267.6784362792969,273.7100070966361,263.9559899025982,273.4910378759819,15106100
254,2021-01-05,269.6988830566406,271.1221676479237,266.95182047531745,267.0314622056163,9871600
255,2021-01-06,262.0747985839844,266.49397277536696,258.79029118133843,260.77094628252524,24354100
256,2021-01-07,267.4793701171875,270.3359025056691,263.53795440473635,264.65269578810233,15789800
257,2021-01-08,266.3148498535156,267.68838120270755,261.9454285433883,267.0513688308532,18528300
258,2021-01-11,255.63519287109375,262.23409725171973,254.69959986052518,259.2581326778782,30412300
259,2021-01-12,249.91213989257812,258.5016616537109,249.1258524437841,255.42616040585042,26383500
260,2021-01-13,250.45956420898438,252.75872564298732,248.03100774091195,250.36999004103347,19528900
261,2021-01-14,244.4877166748047,253.8336681324552,243.46254955888773,252.2113095061817,29739400
262,2021-01-15,250.180908203125,252.6691810746602,246.0006128163883,246.73713186654683,24942900
263,2021-01-19,259.8752136230469,260.9700597144118,251.53451845577186,255.69490322853497,28028500
264,2021-01-20,266.22528076171875,269.0519548732875,262.3634767133542,267.6684606873908,25199900
265,2021-01-21,271.5899963378906,272.3165829346263,266.2352283803753,267.996944972937,20838700
266,2021-01-22,273.21234130859375,277.16371955451825,270.72406861908013,270.7340314296534,21954000
267,2021-01-25,276.7059020996094,278.78609454501253,270.2363927277571,276.8352971469543,19087000
268,2021-01-26,280.7268981933594,284.05125706447734,276.5067976495511,276.8352666372918,19373600
269,2021-01-27,270.8634033203125,282.1203455756536,266.8622417379,281.20464793942597,35346200
270,2021-01-28,263.7569274902344,285.44472259889307,263.45834689190224,275.8797857733197,37758800
271,2021-01-29,257.1181945800781,265.309599667257,253.65453824202993,264.05550044172963,30389500
272,2021-02-01,260.7809753417969,262.93084687628755,253.71427388919292,258.3026347589447,22914300
273,2021-02-02,265.8271179199219,267.5888343131749,262.03499300902416,262.76157952355874,17320800
